ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"10uF"	"C1"	"CAP-SMD_BD5.0-L5.3-W5.3-FD"	"1"	"EEEHD1V100AR"	"PANASONIC(松下)"	"LCSC"	"C178621"	"0.033"
"2"	"47uF"	"C3,C6"	"CAP-SMD_BD5.0-L5.3-W5.3-FD"	"2"	"ZV470M016C055R"	"CapXon"	"LCSC"	"C84357"	"0.01"
"3"	"100nF"	"C2,C4,C7"	"C0603"	"3"	"CC0603KRX7R9BB104"	"YAGEO"	"LCSC"	"C14663"	""
"4"	"1N5819WS"	"D1,D3"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"2"	"1N5819WS"	"Guangdong Hottech"	"LCSC"	"C191023"	"0.003"
"5"	"09 18 516 7323"	"P1"	"918516X323"	"1"	""	""	""	""	""
"6"	"47kΩ"	"R1,R3"	"R0805"	"2"	"0805W8F4702T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C17713"	""
"7"	"6.8kΩ"	"R2"	"R0805"	"1"	"0805W8F6801T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C17772"	""
"8"	"10Ω"	"R6,R8"	"R0805"	"2"	"0603WAF100JT5E"	"ResistorToday"	"LCSC"	"C22859"	""
"9"	"18pF"	"C5"	"C0603"	"1"	"CL10C180JB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1647"	"0.001"
"10"	"1uF"	"C20,C21"	"C0603"	"2"	"CL10A105KB8NNNC"	"SAMSUNG"	"LCSC"	"C15849"	"0.001"
"11"	"1kΩ"	"R4"	"R0805"	"1"	"0805W8F1001T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C17513"	""
"12"	"1uF"	"C8"	"CAP-SMD_BD3.0-L3.3-W3.3-FD"	"1"	"VE-010M1HTR-0305"	"lelon(立隆)"	"LCSC"	"C249446"	"0.011"
"13"	"1N4007WS"	"D2"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"1"	"1N4007WS"	"MDD"	"LCSC"	"C193404"	"0.005"
"14"	"560Ω"	"R5"	"R0805"	"1"	"0805W8F5600T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C28636"	""
"15"	"180Ω"	"R7"	"R0805"	"1"	"0805W8F1800T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C25270"	""
"16"	"3.3kΩ"	"R10"	"R0805"	"1"	"0805W8F3301T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C26010"	""
"17"	"TL082CDR"	"U1"	"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	"1"	"TL082CDR"	"TI(德州仪器)"	"LCSC"	"C9385"	"0.03"
"18"	"LM317_C77880"	"U3"	"TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW"	"1"	"LM317"	"CJ(江苏长电/长晶)"	"LCSC"	"C77880"	"0.038"
